Yil_Ay,TCMB_Faiz_Orani,BDI_Endeksi,Secim_Gundemi,Ramazan_Etkisi
2013-01,5.5,1205,0,0
2013-02,5.5,1205,0,0
2013-03,5.5,1205,0,0
2013-04,5.5,1205,0,0
2013-05,5.5,1205,0,0
2013-06,5.5,1205,0,0
2013-07,5.5,1205,0,1
2013-08,5.5,1205,0,1
2013-09,5.5,1205,0,0
2013-10,5.5,1205,0,0
2013-11,5.5,1205,0,0
2013-12,5.5,1205,0,0
2014-01,10.0,1105,1,0
2014-02,10.0,1105,1,0
2014-03,10.0,1105,1,0
2014-04,10.0,1105,1,0
2014-05,10.0,1105,1,0
2014-06,10.0,1105,1,1
2014-07,10.0,1105,1,1
2014-08,10.0,1105,1,0
2014-09,10.0,1105,1,0
2014-10,10.0,1105,1,0
2014-11,10.0,1105,1,0
2014-12,10.0,1105,1,0
2015-01,8.25,718,1,0
2015-02,8.25,718,1,0
2015-03,8.25,718,1,0
2015-04,8.25,718,1,0
2015-05,8.25,718,1,0
2015-06,8.25,718,1,1
2015-07,8.25,718,1,1
2015-08,8.25,718,1,0
2015-09,8.25,718,1,0
2015-10,8.25,718,1,0
2015-11,8.25,718,1,0
2015-12,8.25,718,1,0
2016-01,7.5,673,0,0
2016-02,7.5,673,0,0
2016-03,7.5,673,0,0
2016-04,7.5,673,0,0
2016-05,7.5,673,0,0
2016-06,7.5,673,0,1
2016-07,7.5,673,0,1
2016-08,7.5,673,0,0
2016-09,7.5,673,0,0
2016-10,7.5,673,0,0
2016-11,7.5,673,0,0
2016-12,7.5,673,0,0
2017-01,8.0,1145,1,0
2017-02,8.0,1145,1,0
2017-03,8.0,1145,1,0
2017-04,8.0,1145,1,0
2017-05,8.0,1145,1,1
2017-06,8.0,1145,1,1
2017-07,8.0,1145,1,0
2017-08,8.0,1145,1,0
2017-09,8.0,1145,1,0
2017-10,8.0,1145,1,0
2017-11,8.0,1145,1,0
2017-12,8.0,1145,1,0
2018-01,8.0,1352,1,0
2018-02,8.0,1352,1,0
2018-03,8.0,1352,1,0
2018-04,8.0,1352,1,0
2018-05,8.0,1352,1,1
2018-06,8.0,1352,1,1
2018-07,8.0,1352,1,0
2018-08,8.0,1352,1,0
2018-09,24.0,1352,1,0
2018-10,24.0,1352,1,0
2018-11,24.0,1352,1,0
2018-12,24.0,1352,1,0
2019-01,24.0,1352,1,0
2019-02,24.0,1352,1,0
2019-03,24.0,1352,1,0
2019-04,24.0,1352,1,0
2019-05,24.0,1352,1,1
2019-06,24.0,1352,1,1
2019-07,19.75,1352,1,0
2019-08,19.75,1352,1,0
2019-09,19.75,1352,1,0
2019-10,19.75,1352,1,0
2019-11,19.75,1352,1,0
2019-12,12.0,1352,1,0
2020-01,12.0,1066,0,0
2020-02,12.0,1066,0,0
2020-03,12.0,1066,0,0
2020-04,12.0,1066,0,1
2020-05,8.25,1066,0,1
2020-06,8.25,1066,0,0
2020-07,8.25,1066,0,0
2020-08,8.25,1066,0,0
2020-09,8.25,1066,0,0
2020-10,8.25,1066,0,0
2020-11,8.25,1066,0,0
2020-12,17.0,1066,0,0
2021-01,17.0,2943,0,0
2021-02,17.0,2943,0,0
2021-03,19.0,2943,0,0
2021-04,19.0,2943,0,1
2021-05,19.0,2943,0,1
2021-06,19.0,2943,0,0
2021-07,19.0,2943,0,0
2021-08,19.0,2943,0,0
2021-09,19.0,2943,0,0
2021-10,19.0,2943,0,0
2021-11,19.0,2943,0,0
2021-12,14.0,2943,0,0
2022-01,14.0,1934,0,0
2022-02,14.0,1934,0,0
2022-03,14.0,1934,0,0
2022-04,14.0,1934,0,1
2022-05,14.0,1934,0,1
2022-06,14.0,1934,0,0
2022-07,14.0,1934,0,0
2022-08,14.0,1934,0,0
2022-09,14.0,1934,0,0
2022-10,14.0,1934,0,0
2022-11,9.0,1934,0,0
2022-12,9.0,1934,0,0
2023-01,9.0,1378,1,0
2023-02,9.0,1378,1,0
2023-03,9.0,1378,1,1
2023-04,9.0,1378,1,1
2023-05,9.0,1378,1,0
2023-06,15.0,1378,1,0
2023-07,15.0,1378,1,0
2023-08,15.0,1378,1,0
2023-09,15.0,1378,1,0
2023-10,15.0,1378,1,0
2023-11,15.0,1378,1,0
2023-12,42.5,1378,1,0
2024-01,42.5,1800,1,0
2024-02,42.5,1800,1,0
2024-03,50.0,1800,1,1
2024-04,50.0,1800,1,1
2024-05,50.0,1800,1,0
2024-06,50.0,1800,1,0
2024-07,50.0,1800,1,0
2024-08,50.0,1800,1,0
2024-09,50.0,1800,1,0
2024-10,50.0,1800,1,0
2024-11,50.0,1800,1,0
2024-12,50.0,1800,1,0
2025-01,50.0,1450,0,0
2025-02,50.0,1450,0,1
2025-03,50.0,1450,0,1
2025-04,50.0,1450,0,0
2025-05,50.0,1450,0,0
2025-06,50.0,1450,0,0
2025-07,50.0,1450,0,0
2025-08,50.0,1450,0,0
2025-09,50.0,1450,0,0
2025-10,50.0,1450,0,0
2025-11,50.0,1450,0,0
2025-12,50.0,1450,0,0
2026-01,45.0,1400,0,0
2026-02,45.0,1400,0,1
2026-03,45.0,1400,0,1
2026-04,45.0,1400,0,0
2026-05,45.0,1400,0,0
2026-06,45.0,1400,0,0
2026-07,45.0,1400,0,0
2026-08,45.0,1400,0,0
2026-09,45.0,1400,0,0
2026-10,45.0,1400,0,0
2026-11,45.0,1400,0,0
2026-12,45.0,1400,0,0
